Customer Group;Customer ID;VIN;Engine;Roaming flag;Rental ID;Rental Usage Type;Begin Time;End Time;Revenue;Distance (km);Drives;Reservation minutes;Fuel before the drive (%);Fuel after the drive (%);Start latitude;Start longitude;End latitude;End longitude
Customer;824474;WBY1Z21000V308095;I3;No;9339013837;Private;31.05.2016 14:35:06;01.06.2016 08:35:52;4.73;3;1;0;59;57;55.677912;12.531073;55.658480;12.538153
Customer;1052581;WBY1Z21010V307974;I3;No;9339023866;Private;31.05.2016 17:54:45;01.06.2016 01:59:29;12.05;7;1;10;71;65;55.687017;12.582413;55.662744;12.517748
Customer;997115;WBY1Z21000V308243;I3;No;9339035961;Private;31.05.2016 23:11:01;01.06.2016 00:31:54;26.08;11;1;1;57;47;55.660620;12.605624;55.659119;12.604395
Customer;1090083;WBY1Z21070V307929;I3;No;9339036346;Private;31.05.2016 23:45:57;01.06.2016 00:14:10;13.55;8;1;4;74;65;55.707801;12.586748;55.707537;12.588548
Customer;850931;WBY1Z21040V307824;I3;No;9339036571;Private;01.06.2016 00:04:56;01.06.2016 00:20:15;6.88;7;1;0;98;94;55.675366;12.504041;55.708699;12.558936
Customer;873935;WBY1Z21020V308101;I3;No;9339036687;Private;31.05.2016 23:49:46;01.06.2016 00:03:47;6.45;10;1;1;72;47;55.646636;12.524871;55.632202;12.577599
Customer;828693;WBY1Z21010V308168;I3;No;9339036790;Private;31.05.2016 23:59:27;01.06.2016 00:10:46;0.00;4;1;3;100;98;55.648555;12.535814;55.671406;12.561551
Customer;865141;WBY1Z21050V308285;I3;No;9339036800;Private;01.06.2016 00:00:26;01.06.2016 00:17:08;7.31;6;1;1;52;47;55.705894;12.530896;55.667473;12.549172
Customer;813393;WBY1Z21040V307998;I3;No;9339036897;Private;01.06.2016 00:09:54;01.06.2016 00:38:26;13.55;12;1;1;91;83;55.660224;12.492179;55.676929;12.568901
Customer;895281;WBY1Z21050V308075;I3;No;9339036911;Private;01.06.2016 00:11:05;01.06.2016 00:25:32;6.45;5;1;9;100;97;55.674164;12.560714;55.708633;12.576775
Customer;811056;WBY1Z21030V308043;I3;No;9339036928;Private;01.06.2016 00:13:23;01.06.2016 00:32:31;6.88;7;1;4;59;54;55.651631;12.547103;55.687953;12.545697
Customer;1086900;WBY1Z210X0V307925;I3;No;9339036966;Private;01.06.2016 00:18:54;01.06.2016 00:31:06;5.59;6;1;1;95;91;55.695220;12.545698;55.686698;12.480683
Customer;813009;WBY1Z21030V307846;I3;No;9339036969;Business;01.06.2016 00:19:11;01.06.2016 00:30:07;4.73;3;1;1;46;42;55.682319;12.584054;55.709270;12.581631
Customer;812167;WBY1Z21060V308036;I3;No;9339037039;Private;01.06.2016 00:26:24;01.06.2016 00:34:47;0.00;3;1;2;100;99;55.674244;12.560666;55.663890;12.586306
Customer;826696;WBY1Z210X0V308007;I3;No;9339037176;Private;01.06.2016 00:50:05;01.06.2016 01:14:14;11.83;8;1;1;45;99;55.686657;12.589742;55.702828;12.545495
Customer;1043054;WBY1Z21060V307999;I3;No;9339037198;Private;01.06.2016 00:54:22;01.06.2016 02:10:46;17.64;16;1;10;100;93;55.665520;12.575266;55.662408;12.573124
Customer;804840;WBY1Z21010V307795;I3;No;9339037372;Private;01.06.2016 01:07:03;01.06.2016 01:17:32;4.73;4;1;1;40;37;55.672659;12.483549;55.675736;12.541334
Customer;831925;WBY1Z210X0V307956;I3;No;9339037499;Private;01.06.2016 02:12:44;01.06.2016 02:27:45;6.88;7;1;6;100;96;55.673073;12.593006;55.696729;12.533004
Customer;997115;WBY1Z21060V307940;I3;No;9339037591;Private;01.06.2016 01:03:35;01.06.2016 01:14:17;4.73;3;1;1;64;60;55.660587;12.605556;55.672265;12.570295
Customer;997115;WBY1Z21060V307940;I3;No;9339037766;Private;01.06.2016 01:29:54;01.06.2016 01:36:17;3.01;1;1;1;60;59;55.672265;12.570295;55.666609;12.565227
Customer;873935;WBY1Z21020V308101;I3;No;9339037787;Private;01.06.2016 01:34:39;01.06.2016 01:51:02;7.31;10;1;0;47;21;55.632202;12.577599;55.632467;12.575375
Customer;821030;WBY1Z21040V307998;I3;No;9339037812;Business;01.06.2016 01:40:04;01.06.2016 01:54:33;6.45;6;1;0;83;80;55.676929;12.568901;55.698340;12.537349
Customer;997115;WBY1Z21060V307940;I3;No;9339037829;Private;01.06.2016 01:43:34;01.06.2016 02:01:25;7.74;5;1;0;59;54;55.666609;12.565227;55.661765;12.604935
Customer;997115;WBY1Z21060V307940;I3;No;9339037969;Private;01.06.2016 02:17:21;01.06.2016 02:19:30;1.29;0;1;2;54;54;55.661765;12.604935;55.661764;12.604934
Customer;997115;WBY1Z21060V307940;I3;No;9339037976;Private;01.06.2016 02:20:55;01.06.2016 03:07:10;20.22;13;1;0;54;44;55.661764;12.604934;55.666566;12.565178
Customer;813393;WBY1Z21040V308150;I3;No;9339038264;Private;01.06.2016 04:17:18;01.06.2016 05:12:53;21.51;22;1;1;98;77;55.674356;12.575333;55.657728;12.492642
Customer;997115;WBY1Z21000V308243;I3;No;9339038338;Private;01.06.2016 04:45:20;01.06.2016 05:07:52;9.90;2;1;1;47;44;55.659119;12.604395;55.659736;12.601852
Customer;807667;WBY1Z21080V308202;I3;No;9339038427;Private;01.06.2016 05:21:08;01.06.2016 05:42:33;6.88;7;1;6;77;71;55.685983;12.612339;55.668436;12.562330
Customer;1090572;WBY1Z21030V307779;I3;No;9339038447;Private;01.06.2016 05:29:43;01.06.2016 05:38:58;4.30;4;1;1;29;26;55.652867;12.613446;55.676957;12.596313
Customer;997115;WBY1Z21060V307940;I3;No;9339038519;Private;01.06.2016 03:22:32;01.06.2016 03:52:19;12.91;6;1;1;44;39;55.666566;12.565178;55.660596;12.605574
Customer;867854;WBY1Z21050V308285;I3;No;9339038700;Private;01.06.2016 04:19:13;01.06.2016 04:24:10;2.15;4;1;0;47;41;55.667473;12.549172;55.648299;12.507573
Customer;997115;WBY1Z21000V308243;I3;No;9339038817;Private;01.06.2016 05:15:20;01.06.2016 05:43:55;12.48;2;1;1;44;42;55.659736;12.601852;55.660578;12.605538
Customer;870411;WBY1Z21090V307821;I3;No;9339038837;Private;01.06.2016 05:22:50;01.06.2016 05:44:03;9.46;11;1;2;85;75;55.705983;12.578677;55.631767;12.645081
Customer;797719;WBY1Z21080V307910;I3;No;9339038870;Private;01.06.2016 05:36:41;01.06.2016 05:47:02;4.73;5;1;3;61;57;55.687769;12.548392;55.659648;12.591899
